,trade_day,date_section,vot
788,20231006,20230919_0,4665.971378061347
789,20231006,20230919_1,3119.871813383661
790,20231006,20230919_2,6904.444521601963
791,20231006,20230920_0,4809.831522130456
792,20231006,20230920_1,3075.5805959545046
793,20231006,20230920_2,7153.196095411657
794,20231006,20230921_0,4831.669565969027
795,20231006,20230921_1,3202.328790632185
796,20231006,20230921_2,7179.192026399681
797,20231006,20230922_0,4819.614657845859
798,20231006,20230922_1,3225.942441364417
799,20231006,20230922_2,7428.129049734684
800,20231006,20230925_0,4714.209346168184
801,20231006,20230925_1,3133.041190322796
802,20231006,20230925_2,7290.0708640679495
803,20231006,20230926_0,4502.328682046009
804,20231006,20230926_1,3168.144392563206
805,20231006,20230926_2,7285.21563762228
806,20231006,20230927_0,4680.200647169848
807,20231006,20230927_1,3203.2412529073767
808,20231006,20230927_2,7478.160346271871
809,20231006,20230928_0,4665.322542110511
810,20231006,20230928_1,3069.4491371318386
811,20231006,20230928_2,0.0
812,20231009,20230901_2,7746.083022902513
813,20231009,20230904_0,4423.8456553671995
814,20231009,20230904_1,2841.116007020653
815,20231009,20230904_2,6684.412431257945
816,20231009,20230905_0,4185.964945563331
817,20231009,20230905_1,2890.898126332736
818,20231009,20230905_2,6987.669104242364
819,20231009,20230906_0,4192.925712762702
820,20231009,20230906_1,2879.489517213904
821,20231009,20230906_2,6826.64809248859
822,20231009,20230907_0,4489.512194408972
823,20231009,20230907_1,2923.1514901713713
824,20231009,20230907_2,6475.213151061334
825,20231009,20230908_0,2446.494288609556
826,20231009,20230908_1,2833.4425872260535
827,20231009,20230908_2,6409.481202859473
828,20231009,20230911_0,4345.26628948233
829,20231009,20230911_1,2912.1508375442563
830,20231009,20230911_2,6334.586189817834
831,20231009,20230912_0,4265.475637538125
832,20231009,20230912_1,3071.485412504131
833,20231009,20230912_2,6154.809664736018
834,20231009,20230913_0,4424.242298394308
835,20231009,20230913_1,2917.005691420065
836,20231009,20230913_2,6301.971659790364
837,20231009,20230914_0,4294.926360258004
838,20231009,20230914_1,2922.8089597053904
839,20231009,20230914_2,6335.095935770162
840,20231009,20230915_0,4272.1692901024535
841,20231009,20230915_1,2878.9874250852395
842,20231009,20230915_2,6351.4172058864115
843,20231009,20230918_0,4413.623464562928
844,20231009,20230918_1,2837.3345259202133
845,20231009,20230918_2,6027.958180172486
846,20231009,20230919_0,4371.28103707437
847,20231009,20230919_1,2922.8290083539214
848,20231009,20230919_2,6468.378171095988
849,20231009,20230920_0,4506.0553571048895
850,20231009,20230920_1,2881.335106405159
851,20231009,20230920_2,6701.4192571706535
852,20231009,20230921_0,4526.5141681827245
853,20231009,20230921_1,3000.078222250879
854,20231009,20230921_2,6725.7733543053555
855,20231009,20230922_0,4515.220615991161
856,20231009,20230922_1,3022.200497613998
857,20231009,20230922_2,6958.988177406598
858,20231009,20230925_0,4416.472423426171
