seq,time,sell_pair,sell_pair_volume,buy_pair,buy_pair_volume
1755,00:20:14:000,[540],[3000],[589],[8000]
1756,00:20:14:500,[550],[1000],[589],[8000]
1757,00:20:15:000,[550],[2000],[589],[5000]
1758,00:20:16:000,[550],[2000],[600],[26000]
1759,00:20:16:500,[550],[1000],[600],[26000]
1760,00:20:19:500,[550],[1000],[589],[4000]
1761,00:20:20:000,[550],[1000],[589],[3000]
1762,00:20:20:500,[550],[1000],[589],[3000]
1763,00:20:21:500,[550],[1000],[589],[3000]
1764,00:20:22:000,[540],[4000],[579],[4000]
1765,00:20:22:500,[550],[1000],[590],[4000]
1766,00:20:23:500,[550],[1000],[590],[1000]
1767,00:20:24:000,[550],[1000],[590],[3000]
1768,00:20:24:500,[550],[1000],[590],[6000]
1769,00:20:25:000,[539],[4000],[580],[2000]
1770,00:20:25:500,[539],[1000],[590],[6000]
1771,00:20:28:000,[539],[1000],[590],[6000]
1772,00:20:31:000,[540],[3000],[580],[8000]
1773,00:20:31:500,[550],[1000],[600],[12000]
1774,00:20:32:000,[529],[3000],[600],[8000]
1775,00:20:32:500,[540],[1000],[600],[7000]
1776,00:20:33:000,[550],[1000],[600],[5000]
1777,00:20:34:000,[550],[1000],[600],[5000]
1778,00:20:34:500,[550],[1000],[600],[5000]
1779,00:20:35:000,[550],[1000],[600],[5000]
1780,00:20:36:500,[550],[1000],[600],[5000]
1781,00:20:37:000,[540],[1000],[589],[2000]
1782,00:20:37:500,[540],[1000],[600],[5000]
1783,00:20:38:000,[540],[1000],[600],[5000]
1784,00:20:39:000,[540],[1000],[600],[5000]
1785,00:20:39:500,[540],[4000],[600],[5000]
1786,00:20:40:000,[529],[4000],[600],[5000]
1787,00:20:40:500,[529],[4000],[600],[5000]
1788,00:20:42:500,[529],[5000],[590],[1000]
1789,00:20:43:000,[529],[8000],[590],[1000]
1790,00:20:44:500,[520],[5000],[590],[6000]
1791,00:20:45:000,[529],[3000],[590],[5000]
1792,00:20:45:500,[550],[1000],[579],[3000]
1793,00:20:46:000,[519],[5000],[600],[7000]
1794,00:20:46:500,[529],[2000],[600],[4000]
1795,00:20:47:500,[539],[3000],[600],[5000]
1796,00:20:48:000,[550],[1000],[600],[5000]
1797,00:20:48:500,[540],[4000],[600],[2000]
